References	Qty	Description
C1	1	C Small 1uF Unpolarized capacitor, small symbol
C2	1	C Small 10uF Unpolarized capacitor, small symbol
D1, D2	2	LED Light emitting diode
J1	1	USB B Type connector
J2	1	Conn Coaxial signal out coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)
J3	1	Conn Coaxial signal in coaxial connector (BNC, SMA, SMB, SMC, Cinch/RCA, LEMO, ...)
R1, R2	2	R Small 10k Resistor, small symbol
R3	1	R Small 150 Resistor, small symbol
R4	1	R Small Resistor, small symbol
RV1	1	R Potentiometer
U1	1	74HC123 Dual retriggerable monostable multivibrator
